soil_ph_deviation,moisture_content_variation,nitrogen_level_fluctuation,tree_density_difference,understory_diversity_index,canopy_coverage_deviation,temperature_anomaly,precipitation_difference,elevation_variation,wind_pattern_change,sunlight_exposure_shift,fungal_colony_presence,insect_population_variance,water_body_influence,forest_edge_proximity,human_activity_impact,wildfire_history,geographic_orientation,local_pollution_level,adjacent_landscape_effect,carbon_sequestration_rate
-0.00581770268098709,-0.006002377200182449,-0.007274964522521887,-0.0062195440314498085,0.008112236923305823,-0.027816368612060473,-0.03769188286616324,0.002190969023064543,-0.04024780949760261,-0.011999665520316621,0.0037984037705473305,0.03523797955579147,0.031869668189719966,0.00749880864072024,-0.02530056802390495,0.02077582003670514,-0.051907752861131515,0.026895876727491726,-0.014664078614408495,-0.011946026381468855,1.3341520575516803
-0.004205985281000336,-0.004482723905037383,-0.0033532010510074406,-0.0019375070438791494,-0.025225330374160627,-0.0032479169246358887,-0.0036221565149953034,0.02064796138764571,-0.04363841294550946,-0.0046229995452828935,0.0016187639050700825,-0.010668333766710527,-0.03378724854035842,-0.013120137602381673,0.0020571834889901285,0.008022716486083221,-0.01572772399829849,0.016875976402069184,-0.034842164066831306,0.039857574154720576,2.174148710172224
-0.01731967052096895,0.02952373854576271,-0.03460378853122318,0.008720184707284724,-0.0030444850296208435,-0.006266181338906641,0.013242230516992458,-0.0013148468093996933,0.01595327376440237,-0.0035945005123192613,-0.00847225055912371,0.01384519768628135,-0.01836779646600091,-0.0009951923441331558,-0.011458981730361393,-0.009702432992731857,0.036563163511522424,0.0081724155855385,-0.01234191655502829,0.036234368308852606,9.427182001550726
-0.034325683683310064,0.03539457000444096,-0.007513053123473013,-0.010725617978481865,0.03426523710362327,-0.011406576233378938,-0.028913146397695506,0.021935980119833505,-0.02379654535142313,-0.007402920001626965,-0.025440478147791733,0.01238651823833498,0.028140052613331426,0.009672861604933837,0.005056941109645609,-0.0010069036544643336,0.011432731677413615,-0.0022988446992171317,0.012543142738450393,-0.012346181477060913,11.1778502911557
0.01726785064628754,-0.03146922177908217,-0.012356988141174865,-0.005916925095530468,0.0007815920596236007,-0.019565943960823194,0.035802853901208444,0.009123503320350158,0.037865277563204305,0.03754506607884343,0.03936524653270901,0.019093039861973325,-0.0038974631307461104,0.013783731377031202,-0.004139377328952238,-0.0020125229068580076,0.010758311955721977,0.011177876543841241,0.0428595905254924,0.01614851718724357,7.595098873916521
0.02804108252973131,-0.0328723902557562,0.016576033961429634,0.06496443920440484,-0.007896680266962325,-0.036510760244946726,0.004349929945719225,-0.011156752031991424,0.018902189773066416,0.04811065997385014,0.03914879165393438,0.015983111897579613,0.002245034125172008,-0.008513432973789176,-0.031227298254485274,0.017163976592950405,-0.09074688040050405,0.008246396656478689,0.01469393570498564,0.011884698431309257,5.768156541506663
-0.033559473495389826,0.008087988398814248,0.017211329116901875,0.00449069628060339,0.0360713154284628,-0.0011731846425243513,-0.046099923429319185,0.027810637824267195,0.005321176173777737,0.016660065448531648,-0.025281303350840407,-0.006836617784127962,-0.013277255987223267,-0.021399493880474584,-0.0013028719444871603,0.015809137163762504,0.02157877996430691,-0.010632449112101771,0.011399081558996129,-0.022377525281450185,8.543214744591163
0.04189254844002994,-0.025914641944174883,-0.005243838501306989,0.04046112239784609,-0.022127011917664953,0.0016617512649730285,-0.014999507298203879,0.005151686790829876,0.036232081261416416,0.0503422084874125,0.04352318347259591,0.036374712244039625,-0.03665710342259542,-0.02346555326704854,-0.00419293658435361,-0.005483932825391241,-0.02745069351320007,-0.01835038205253929,0.0500859082583945,0.010831879641340301,5.4248285016617785
-0.00534511064561887,0.008726802050719724,0.016395483941954097,0.009864906207340023,0.016039609476055587,-0.01267155349009245,0.006058343730605188,-0.022419651063514776,-0.005344072698350316,-0.029870669244946888,0.014238341048936688,0.011096189569443419,-0.00606121605237496,0.0030151344415774166,-0.008733032422287103,-0.0063542716250052705,-0.008886287635684869,-0.016385016481422713,-0.008343161945344617,-0.007427541169228477,-0.41474873537935997
-0.027899392104996146,0.015314015745905239,0.03458710250874492,-0.028059675076812975,0.017182602370415988,-0.016309269202252046,-0.003071552677904485,0.013563033373570142,-0.001552845941282237,-0.01096440059098213,-0.007581021164811128,0.036528977662214135,0.028035419872388393,0.012398152234726081,0.029511877334283662,-0.0027607439730894176,-0.0064167043343964884,-0.027806858120341876,0.010687176233118736,-9.496808035045244e-05,12.72267569230272
